dummy,dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
*RAS,IS,STE1CH,154.6264753,136.0526721,132.0515113,106.2326411,103.5822864,122.5042736,93.28921154,90.22933495,85.65592819,74.6918219,68.84962647,76.89509469,66.86155,75.45666583,119.0547049,119.7242678,114.2536979,156.9071462,246.002929,115.0850224,150.3391597,143.8317067,132.0873492,127.9250886,124.2987612,118.6232992,162.4006433,155.951469,139.4321846,138.0688127,137.348451,138.0060887,139.2662137,141.1371453,143.9513761,141.6452177,139.8569362,139.9100302,140.1401824,140.4891488,140.7995313,140.991196,140.9729523,140.6006494,140.4700783,140.5467211,140.6263074,140.6870731,140.7118136,140.7008489,140.6645555,140.6260059,140.6291755,140.6490626,140.6618553,140.6662988,140.663702,140.6576881,140.652293,140.6507601,140.6538544,140.6569393,140.6579239,140.6574324,140.6563242,140.6554019,140.6551162,140.6554691,140.6560577,140.6563331,140.6562573,140.656049,140.655876,140.65582,140.6558723,140.6559668,140.656029,140.6560254,140.655987,140.6559532,140.6559412,140.6559494,140.6559655,140.6559772,140.6559785,140.6559722,140.6559655,140.6559628,140.655964,140.6559669,140.6559691
*RAS,IS,STE1CD,320.3869921,260.9907597,246.4189379,211.5982081,193.1249563,203.6244323,242.69124,239.62032,237.2106,231.09696,230.31576,220.97724,217.887,208.96632,201.003,200.87352,193.74552,186.8706,178.212,168.54264,162.19896,155.17836,142.50732,138.01596,134.10432,127.98108,120.2856,113.91636,136.773495,133.5953119,130.8974309,129.4461947,128.3749741,127.6588058,127.6185215,128.5351367,130.3624838,129.5611074,129.0568319,128.826757,128.7493273,128.7961214,128.9382859,129.1032564,129.1742714,129.0257448,128.9588245,128.9465736,128.9615507,128.9880786,129.0120732,129.0212967,129.0110517,128.9906492,128.9862623,128.989692,128.9950818,128.9992732,129.0006725,128.9992474,128.9964913,128.9946712,128.995174,128.9962879,128.9971124,128.9973662,128.9971279,128.9966848,128.9963645,128.9963486,128.9965583,128.9967313,128.9967867,128.996746,128.9966685,128.9966111,128.9966019,128.9966316,128.9966669,128.9966805,128.9966742,128.9966601,128.9966493,128.9966469,128.9966514,128.9966576,128.9966609,128.9966601,128.9966576,128.9966555,128.9966549
*RAS,IS,STE1CR,266.9891601,217.4922997,205.349115,176.3318401,160.9374636,169.6870269,202.2427,199.6836,197.6755,192.5808,191.9298,184.1477,181.5725,174.1386,167.5025,167.3946,161.4546,155.7255,148.51,140.4522,135.1658,129.3153,118.7561,115.0133,111.7536,106.6509,100.238,94.9303,113.9779125,111.3294266,109.0811924,107.8718289,106.979145,106.3823382,106.348768,107.1126139,108.6354032,107.9675895,107.5473599,107.3556308,107.2911061,107.3301012,107.4485716,107.586047,107.6452262,107.521454,107.4656871,107.455478,107.4679589,107.4900655,107.510061,107.5177472,107.5092097,107.4922077,107.4885519,107.49141,107.4959015,107.4993943,107.5005604,107.4993728,107.4970761,107.4955593,107.4959783,107.4969066,107.4975937,107.4978052,107.4976066,107.4972373,107.4969704,107.4969572,107.4971319,107.4972761,107.4973223,107.4972884,107.4972238,107.4971759,107.4971682,107.497193,107.4972224,107.4972338,107.4972285,107.4972167,107.4972078,107.4972058,107.4972095,107.4972147,107.4972174,107.4972168,107.4972146,107.4972129,107.4972124
*RAS,IS,STE1CG,29.44254205,23.98421785,22.64511394,19.4452,23.2584,25.043,24.9135,25.5273,26.1924,29.1702,31.223,31.6005,30.9983,29.7945,27.7725,29.543,28.5286,27.5166,26.2414,24.8178,23.8836,22.8498,20.984,20.3227,19.7467,18.845,28.6077,27.0929,22.79155,22.65504375,22.63069922,22.83653662,23.1507662,23.57627447,24.16768378,23.61268176,23.17765448,23.22591753,23.29727676,23.38059895,23.44860674,23.48583681,23.4745321,23.38788814,23.35978894,23.38255575,23.40213552,23.41524287,23.41957336,23.41594419,23.40720761,23.39879205,23.40015503,23.4052008,23.40803143,23.40876842,23.40795911,23.40650733,23.40532772,23.40509273,23.40588032,23.40659598,23.40677038,23.40661275,23.40634329,23.40614131,23.40609556,23.40619154,23.40632889,23.40638496,23.40635859,23.40630711,23.40626891,23.40625961,23.4062744,23.40629675,23.4063099,23.40630753,23.40629785,23.40629026,23.40628815,23.40629056,23.40629442,23.40629693,23.40629695,23.40629533,23.40629381,23.4062933,23.40629368,23.40629437,23.40629485
*RAS,IS,STE1CB,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
RAS,IS,STE1AL,154.6264753,136.0526721,132.0515113,106.2326411,103.5822864,122.5042736,93.28921154,90.22933495,85.65592819,74.6918219,68.84962647,76.89509469,66.86155,75.45666583,119.0547049,119.7242678,114.2536979,156.9071462,246.002929,115.0850224,150.3391597,143.8317067,132.0873492,127.9250886,124.2987612,118.6232992,162.4006433,155.951469,139.4321846,138.0688127,137.348451,138.0060887,139.2662137,141.1371453,143.9513761,141.6452177,139.8569362,139.9100302,140.1401824,140.4891488,140.7995313,140.991196,140.9729523,140.6006494,140.4700783,140.5467211,140.6263074,140.6870731,140.7118136,140.7008489,140.6645555,140.6260059,140.6291755,140.6490626,140.6618553,140.6662988,140.663702,140.6576881,140.652293,140.6507601,140.6538544,140.6569393,140.6579239,140.6574324,140.6563242,140.6554019,140.6551162,140.6554691,140.6560577,140.6563331,140.6562573,140.656049,140.655876,140.65582,140.6558723,140.6559668,140.656029,140.6560254,140.655987,140.6559532,140.6559412,140.6559494,140.6559655,140.6559772,140.6559785,140.6559722,140.6559655,140.6559628,140.655964,140.6559669,140.6559691
RAS,IS,STE1AH,154.6264753,136.0526721,132.0515113,106.2326411,103.5822864,122.5042736,93.28921154,90.22933495,85.65592819,74.6918219,68.84962647,76.89509469,66.86155,75.45666583,119.0547049,119.7242678,114.2536979,156.9071462,246.002929,115.0850224,150.3391597,143.8317067,132.0873492,127.9250886,124.2987612,118.6232992,162.4006433,155.951469,139.4321846,138.0688127,137.348451,138.0060887,139.2662137,141.1371453,143.9513761,141.6452177,139.8569362,139.9100302,140.1401824,140.4891488,140.7995313,140.991196,140.9729523,140.6006494,140.4700783,140.5467211,140.6263074,140.6870731,140.7118136,140.7008489,140.6645555,140.6260059,140.6291755,140.6490626,140.6618553,140.6662988,140.663702,140.6576881,140.652293,140.6507601,140.6538544,140.6569393,140.6579239,140.6574324,140.6563242,140.6554019,140.6551162,140.6554691,140.6560577,140.6563331,140.6562573,140.656049,140.655876,140.65582,140.6558723,140.6559668,140.656029,140.6560254,140.655987,140.6559532,140.6559412,140.6559494,140.6559655,140.6559772,140.6559785,140.6559722,140.6559655,140.6559628,140.655964,140.6559669,140.6559691
RAS,IS,STE1AD,320.3869921,260.9907597,246.4189379,211.5982081,193.1249563,203.6244323,242.69124,239.62032,237.2106,231.09696,230.31576,220.97724,217.887,208.96632,201.003,200.87352,193.74552,186.8706,178.212,168.54264,162.19896,155.17836,142.50732,138.01596,134.10432,127.98108,120.2856,113.91636,136.773495,133.5953119,130.8974309,129.4461947,128.3749741,127.6588058,127.6185215,128.5351367,130.3624838,129.5611074,129.0568319,128.826757,128.7493273,128.7961214,128.9382859,129.1032564,129.1742714,129.0257448,128.9588245,128.9465736,128.9615507,128.9880786,129.0120732,129.0212967,129.0110517,128.9906492,128.9862623,128.989692,128.9950818,128.9992732,129.0006725,128.9992474,128.9964913,128.9946712,128.995174,128.9962879,128.9971124,128.9973662,128.9971279,128.9966848,128.9963645,128.9963486,128.9965583,128.9967313,128.9967867,128.996746,128.9966685,128.9966111,128.9966019,128.9966316,128.9966669,128.9966805,128.9966742,128.9966601,128.9966493,128.9966469,128.9966514,128.9966576,128.9966609,128.9966601,128.9966576,128.9966555,128.9966549
RAS,IS,STE1AR,266.9891601,217.4922997,205.349115,176.3318401,160.9374636,169.6870269,202.2427,199.6836,197.6755,192.5808,191.9298,184.1477,181.5725,174.1386,167.5025,167.3946,161.4546,155.7255,148.51,140.4522,135.1658,129.3153,118.7561,115.0133,111.7536,106.6509,100.238,94.9303,113.9779125,111.3294266,109.0811924,107.8718289,106.979145,106.3823382,106.348768,107.1126139,108.6354032,107.9675895,107.5473599,107.3556308,107.2911061,107.3301012,107.4485716,107.586047,107.6452262,107.521454,107.4656871,107.455478,107.4679589,107.4900655,107.510061,107.5177472,107.5092097,107.4922077,107.4885519,107.49141,107.4959015,107.4993943,107.5005604,107.4993728,107.4970761,107.4955593,107.4959783,107.4969066,107.4975937,107.4978052,107.4976066,107.4972373,107.4969704,107.4969572,107.4971319,107.4972761,107.4973223,107.4972884,107.4972238,107.4971759,107.4971682,107.497193,107.4972224,107.4972338,107.4972285,107.4972167,107.4972078,107.4972058,107.4972095,107.4972147,107.4972174,107.4972168,107.4972146,107.4972129,107.4972124
RAS,IS,STE1AG,29.44254205,23.98421785,22.64511394,19.4452,23.2584,25.043,24.9135,25.5273,26.1924,29.1702,31.223,31.6005,30.9983,29.7945,27.7725,29.543,28.5286,27.5166,26.2414,24.8178,23.8836,22.8498,20.984,20.3227,19.7467,18.845,28.6077,27.0929,22.79155,22.65504375,22.63069922,22.83653662,23.1507662,23.57627447,24.16768378,23.61268176,23.17765448,23.22591753,23.29727676,23.38059895,23.44860674,23.48583681,23.4745321,23.38788814,23.35978894,23.38255575,23.40213552,23.41524287,23.41957336,23.41594419,23.40720761,23.39879205,23.40015503,23.4052008,23.40803143,23.40876842,23.40795911,23.40650733,23.40532772,23.40509273,23.40588032,23.40659598,23.40677038,23.40661275,23.40634329,23.40614131,23.40609556,23.40619154,23.40632889,23.40638496,23.40635859,23.40630711,23.40626891,23.40625961,23.4062744,23.40629675,23.4063099,23.40630753,23.40629785,23.40629026,23.40628815,23.40629056,23.40629442,23.40629693,23.40629695,23.40629533,23.40629381,23.4062933,23.40629368,23.40629437,23.40629485
